Agency,State,Population,Violent Crime rate,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,Vehicular,Year
Abilene Police Dept,TX,111317.0,318.9,7.2,32.3,86.2,193.1,5530.2,1458.0,3697.5,374.6,1985
Akron City Police Dept,OH,226704.0,826.2,7.5,69.7,225.4,523.6,5849.5,1410.2,4025.5,413.8,1985
Albuquerque Police Dept,NM,357051.0,1149.7,11.8,66.7,349.2,722.0,8136.9,2572.7,5023.1,541.1,1985
Alexandria Police Dept,VA,108346.0,740.2,6.5,48.0,392.3,293.5,6339.0,1343.8,4378.6,616.5,1985
Allentown City Police Dept,PA,103483.0,382.7,3.9,45.4,184.6,148.8,5014.4,1331.6,3426.6,256.1,1985
Amarillo Police Dept,TX,166747.0,455.2,10.2,35.4,97.2,312.4,6047.5,1612.6,4116.4,318.4,1985
Amherst Town Police Dept,NY,108570.0,210.9,0.9,2.8,38.7,168.6,2441.7,446.7,1760.2,234.9,1985
Anaheim Police Dept,CA,240283.0,483.6,6.7,44.5,250.1,182.3,6829.0,2147.5,3971.6,710.0,1985
Anchorage Police Dept,AK,229579.0,515.7,6.1,84.1,161.6,264.0,5853.3,1259.7,3987.3,606.3,1985
Ann Arbor Police Dept,MI,107832.0,588.9,3.7,34.3,132.6,418.2,7936.4,1448.5,6025.1,462.8,1985
Arlington Police Dept,TX,218931.0,507.0,8.2,48.0,136.6,314.3,8461.1,1599.6,6065.8,795.7,1985
Atlanta Police Dept,GA,436214.0,2661.5,33.2,156.6,1098.5,1373.2,10521.2,2795.0,6733.4,992.9,1985
Aurora Police Dept,CO,198033.0,1136.2,5.0,44.9,219.2,867.0,7400.8,2000.2,4916.9,483.8,1985
Austin Police Dept,TX,406469.0,581.3,12.8,120.3,264.7,183.5,9024.3,2524.4,5980.3,519.6,1985
Bakersfield Police Dept,CA,133983.0,897.1,12.7,51.5,447.1,385.9,8746.6,2878.0,5241.0,627.7,1985
Baltimore City Police Dept,MD,771097.0,2009.9,27.6,76.8,1007.8,897.7,6565.1,1799.0,3985.5,780.6,1985
Baton Rouge Police Dept,LA,245830.0,1761.8,14.6,51.3,395.0,1300.9,10962.0,3247.4,6729.9,984.8,1985
Beaumont Police Dept,TX,126298.0,772.0,8.7,103.7,269.2,390.3,6500.5,2323.9,3669.9,506.7,1985
Berkeley Police Dept,CA,106768.0,1090.2,10.3,40.3,618.2,421.5,11272.1,2744.3,7713.9,813.9,1985
Birmingham Police Dept,AL,281973.0,1188.1,34.4,100.4,508.9,544.4,8768.9,2543.9,4979.9,1245.2,1985
Boise Police Dept,ID,107638.0,356.8,2.8,42.7,74.3,236.9,5582.6,1382.4,3922.4,277.8,1985
Boston Police Dept,MA,573131.0,2074.0,15.2,92.8,1087.4,878.7,9803.3,2001.3,4700.1,3101.9,1985
Bridgeport Police Dept,CT,143032.0,1533.9,21.0,39.9,890.0,583.1,9518.1,2313.5,5143.6,2061.1,1985
Buffalo Police Dept,NY,339890.0,1003.6,9.1,85.6,409.0,499.9,6073.7,1949.2,3360.5,764.1,1985
Cedar Rapids Police Dept,IA,107702.0,159.7,1.9,22.3,56.6,78.9,7322.1,1712.1,5315.6,294.3,1985
Charlotte-Mecklenburg Police Department,NC,335690.0,1362.9,16.7,67.3,333.9,944.9,8493.6,2550.9,5495.2,447.4,1985
Chattanooga Police Dept,TN,165979.0,909.2,15.7,68.1,235.6,589.8,7200.9,1689.4,4665.7,845.9,1985
Chesapeake Police Dept,VA,127585.0,319.0,10.2,33.7,99.5,175.6,3687.7,1145.9,2343.5,198.3,1985
Chicago Police Dept,IL,2998841.0,,22.2,,896.7,970.2,7296.6,1755.9,4043.7,1497.0,1985
Cincinnati Police Dept,OH,370198.0,884.7,12.2,97.2,335.5,439.8,6822.8,1743.1,4759.6,320.1,1985
